ticker,sector,industry,pe_ratio,forward_pe,pb_ratio,ps_ratio,peg_ratio,ev_ebitda,profit_margin,operating_margin,gross_margin,roe,roa,revenue_growth,earnings_growth,debt_equity,current_ratio,quick_ratio,market_cap,beta,dividend_yield,payout_ratio,analyst_upside,num_analysts,recommendation,value_score,growth_score,quality_score,pe_ratio_rank,pb_ratio_rank,analyst_upside_rank,revenue_growth_rank,earnings_growth_rank,roe_rank,profit_margin_rank,current_ratio_rank,fundamental_composite,fundamental_rank
CRM,Technology,Software - Application,35.74999,20.38426,4.196838,6.3143144,,21.165,0.17913,0.23862,0.77729,0.12184,0.059499998,0.086,0.386,19.385,0.984,0.785,254574231552,1.253,0.63,0.22,0.234294803595529,53,buy,0.5893939393939394,0.4557416267942584,0.29797979797979796,0.44999999999999996,0.7272727272727273,0.5909090909090909,0.22727272727272727,0.6842105263157895,0.4090909090909091,0.3181818181818182,0.16666666666666666,0.4551913875598086,17.0
C,Financial Services,Banks - Diversified,16.425562,11.883955,1.078785,2.855951,,,0.19488001,0.30606002,0.0,0.06995,0.0058399998,0.116,0.232,,,,215293001728,1.196,2.03,0.3202,0.014271483539974428,21,buy,0.6303030303030304,0.4300239234449761,0.3181818181818182,0.8,0.9545454545454546,0.13636363636363635,0.38636363636363635,0.47368421052631576,0.2727272727272727,0.36363636363636365,,0.46656897926634766,16.0
AAPL,Technology,Consumer Electronics,36.492638,29.77582,54.618313,9.720974,,28.345,0.26915002,0.31647,0.46905,1.7142199,0.22964,0.079,0.912,152.411,0.893,0.771,4045490356224,1.107,0.38,0.1367,0.05541753484959644,41,buy,0.2545454545454546,0.5645933014354066,0.5336700336700336,0.4,0.0,0.36363636363636365,0.18181818181818182,0.9473684210526315,1.0,0.5454545454545454,0.05555555555555555,0.4467995746943115,18.0
AMZN,Consumer Cyclical,Internet Retail,32.668064,29.482235,6.6871915,3.576496,,18.233,0.11063,0.11057,0.50046,0.24327,0.07495,0.134,0.364,43.405,1.009,0.76,2472539062272,1.372,,0.0,0.2780404159455301,60,strong_buy,0.6378787878787878,0.5657894736842105,0.3501683501683502,0.55,0.5909090909090908,0.7727272727272727,0.5,0.631578947368421,0.5,0.2727272727272727,0.2777777777777778,0.5263343965975544,10.0
NFLX,Communication Services,Entertainment,39.182007,28.880049,15.288979,9.147424,,31.358,0.24047,0.28219998,0.48084998,0.42861,0.14739999,0.172,0.087,65.822,1.332,1.132,396804128768,1.706,,0.0,0.3475555555555556,38,buy,0.5075757575757576,0.4461722488038277,0.5235690235690236,0.25,0.36363636363636365,0.9090909090909091,0.6818181818181818,0.21052631578947367,0.7727272727272727,0.4090909090909091,0.3888888888888889,0.4908825093035619,14.0
GOOGL,Communication Services,Internet Content & Information,30.961502,28.024942,9.791153,9.854948,,25.689,0.32233003,0.30512,0.59172,0.3545,0.16275999,0.159,0.353,11.424,1.747,1.563,3798846144512,1.07,0.27,0.0809,0.05028175615355179,54,strong_buy,0.4893939393939393,0.5849282296650717,0.7222222222222222,0.65,0.5,0.3181818181818182,0.5909090909090909,0.5789473684210527,0.7272727272727273,0.7727272727272727,0.6666666666666666,0.5926794258373205,5.0
INTC,Technology,Semiconductors,623.5834,62.830612,1.6762993,3.3396873,,19.252,0.0037099998,0.06284,0.33023,0.0018600001,-0.00463,0.028,,39.881,1.602,1.057,178469552128,1.344,,0.0,0.019384738741146545,36,hold,0.37878787878787873,0.09090909090909091,0.2760942760942761,0.0,0.8636363636363636,0.2727272727272727,0.09090909090909091,,0.13636363636363635,0.13636363636363635,0.5555555555555556,0.2472222222222222,22.0
ORCL,Technology,Software - Infrastructure,37.015068,24.68384,18.853718,9.255174,,25.654,0.25280002,0.31997,0.68543,0.69026,0.06864,0.142,0.909,432.511,0.909,0.773,564713684992,1.659,1.02,0.35709998,0.4799095395573645,39,buy,0.5409090909090909,0.7200956937799043,0.49158249158249157,0.35,0.2727272727272727,1.0,0.5454545454545454,0.8947368421052632,0.9090909090909091,0.45454545454545453,0.1111111111111111,0.5888264221158958,6.0
AMD,Technology,Semiconductors,112.01563,33.298965,5.759775,10.932741,,57.425,0.10323,0.13736,0.51457,0.05317,0.025980001,0.356,0.603,6.366,2.308,1.176,350142922752,1.927,,0.0,0.3150179941414424,43,buy,0.5484848484848485,0.8720095693779905,0.4326599326599327,0.09999999999999998,0.6818181818181819,0.8636363636363636,0.9545454545454546,0.7894736842105263,0.18181818181818182,0.22727272727272727,0.8888888888888888,0.6269710260499735,4.0
CRWD,Technology,Software - Infrastructure,,98.30737,29.8271,26.24516,,-1236.737,-0.06882,-0.05589,0.74277,-0.088149995,-0.02001,0.222,,20.154,1.811,1.615,119813562368,1.094,,0.0,0.16685120932532382,48,buy,0.3409090909090909,0.7727272727272727,0.3013468013468013,,0.18181818181818177,0.5,0.7727272727272727,,0.09090909090909091,0.09090909090909091,0.7222222222222222,0.48017676767676765,15.0
ASML,Technology,Semiconductor Equipment & Materials,37.75954,35.376797,18.688696,12.999188,,33.759,0.29378,0.32841998,0.52711,0.53852004,0.16155,0.007,0.038,14.24,1.308,0.604,418729852928,1.355,0.69,0.2672,-0.009271313230563849,13,buy,0.23636363636363641,0.10167464114832536,0.5959595959595959,0.30000000000000004,0.31818181818181823,0.09090909090909091,0.045454545454545456,0.15789473684210525,0.8181818181818182,0.6363636363636364,0.3333333333333333,0.29710127591706537,20.0
BAC,Financial Services,Banks - Diversified,15.109289,12.678834,1.4571421,4.0376973,,,0.29224002,0.35292998,0.0,0.09871,0.00881,0.126,0.315,,,,409604194304,1.304,2.02,0.28959998,0.07858643761301987,24,buy,0.756060606060606,0.49043062200956933,0.4545454545454546,0.95,0.9090909090909091,0.4090909090909091,0.45454545454545453,0.5263157894736842,0.3181818181818182,0.5909090909090909,,0.5726355661881977,8.0
META,Communication Services,Internet Content & Information,29.496681,22.115065,8.655885,8.8647785,,16.94,0.30892,0.40075,0.82013,0.32643002,0.18013,0.262,-0.826,26.311,1.978,1.671,1679503261696,1.273,0.32,0.091800004,0.25636321342277846,59,strong_buy,0.6272727272727273,0.43540669856459335,0.7138047138047138,0.7,0.5454545454545454,0.6363636363636364,0.8181818181818182,0.05263157894736842,0.6363636363636364,0.7272727272727273,0.7777777777777778,0.5860792131844763,7.0
NVDA,Technology,Semiconductors,46.214516,24.736967,38.260178,24.350487,,40.143,0.53007,0.63168997,0.7005,1.07359,0.53528,0.625,0.667,9.102,4.468,3.605,4556998574080,2.284,0.02,0.0099,0.35181851889844884,57,strong_buy,0.4151515151515152,0.9210526315789473,0.9848484848484849,0.19999999999999996,0.09090909090909094,0.9545454545454546,1.0,0.8421052631578947,0.9545454545454546,1.0,1.0,0.7631259968102073,1.0
JPM,Financial Services,Banks - Diversified,15.987203,15.24638,2.584421,5.3101416,,,0.347,0.43708,0.0,0.16437,0.01323,0.088,0.16,,,,888009654272,1.075,1.85,0.2749,0.018356482520828,23,buy,0.6166666666666666,0.2942583732057416,0.6363636363636364,0.85,0.7727272727272727,0.22727272727272727,0.2727272727272727,0.3157894736842105,0.45454545454545453,0.8181818181818182,,0.5097328548644338,11.0
WFC,Financial Services,Banks - Diversified,15.508237,13.573059,1.8014889,3.813688,,,0.26629,0.33717,0.0,0.115200005,0.01064,0.075,0.169,,,,301555941376,1.108,1.9,0.2718,0.01759887395761406,24,buy,0.6333333333333334,0.2523923444976076,0.4318181818181818,0.9,0.8181818181818181,0.18181818181818182,0.13636363636363635,0.3684210526315789,0.36363636363636365,0.5,,0.43954944178628386,19.0
ADBE,Technology,Software - Application,21.152693,13.416944,12.673555,6.3043737,,15.424,0.29997,0.36503,0.89268,0.55426,0.18221001,0.105,0.172,57.197,0.996,0.876,149848653824,1.54,,0.0,0.21999920736022638,36,buy,0.5681818181818182,0.36961722488038273,0.5892255892255892,0.75,0.40909090909090906,0.5454545454545454,0.3181818181818182,0.42105263157894735,0.8636363636363636,0.6818181818181818,0.2222222222222222,0.5049973418394471,12.0
TSLA,Consumer Cyclical,Auto Manufacturers,313.3687,207.76952,19.14756,16.020048,,139.447,0.05314,0.06628,0.17006999,0.06791,0.0235,0.116,-0.371,17.082,2.066,1.486,1532045295616,1.878,,0.0,-0.13350859216935995,40,hold,0.1075757575757576,0.2458133971291866,0.41414141414141414,0.050000000000000044,0.2272727272727273,0.045454545454545456,0.38636363636363635,0.10526315789473684,0.22727272727272727,0.18181818181818182,0.8333333333333334,0.2479286283891547,21.0
AVGO,Technology,Semiconductors,73.29645,25.076048,5.928471,26.055593,,4.942,0.36198002,0.31765,0.77325994,0.31048,0.09788,0.164,1.881,166.032,1.705,1.53,1664613744640,1.204,0.74,0.4948,0.30109658492124547,43,strong_buy,0.5348484848484848,0.8181818181818181,0.6885521885521886,0.15000000000000002,0.6363636363636364,0.8181818181818182,0.6363636363636364,1.0,0.5454545454545454,0.9090909090909091,0.6111111111111112,0.6801262626262625,2.0
SNOW,Technology,Software - Application,,136.7908,35.811546,17.418047,,-61.28,-0.30764,-0.27164,0.67243,-0.53093,-0.10469,0.287,,125.912,1.367,1.275,76408127488,1.092,,0.0,0.2697758470116669,47,buy,0.40909090909090906,0.8636363636363636,0.17845117845117844,,0.13636363636363635,0.6818181818181818,0.8636363636363636,,0.045454545454545456,0.045454545454545456,0.4444444444444444,0.498989898989899,13.0
MSFT,Technology,Software - Infrastructure,34.607243,25.998299,9.976863,12.327471,,21.862,0.35707,0.48873,0.68764,0.32241002,0.14656,0.184,0.127,33.154,1.401,1.254,3621958975488,1.07,0.75,0.2361,0.2775548669115684,53,strong_buy,0.5606060606060607,0.49521531100478466,0.6515151515151515,0.5,0.4545454545454546,0.7272727272727273,0.7272727272727273,0.2631578947368421,0.5909090909090909,0.8636363636363636,0.5,0.5649920255183413,9.0
TSM,Technology,Semiconductors,31.534374,23.79562,49.33072,0.43236762,,2.463,0.43287,0.50578,0.58976,0.34657001,0.16629,0.303,0.391,20.436,2.693,2.397,1570110570496,1.267,1.12,0.29790002,0.13821996498530043,15,none,0.36666666666666664,0.8229665071770335,0.8602693602693602,0.6,0.045454545454545414,0.45454545454545453,0.9090909090909091,0.7368421052631579,0.6818181818181818,0.9545454545454546,0.9444444444444444,0.6744524189261031,3.0
